Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
Miss Count:,7
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1074.049561
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,3.9.2.2026-05-26-13-20-48-24ad9c8a7fe5
Challenge Start:,23:43:51.211
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,200.0
Sens Scale:,Valorant
Sens Increment:,0.159909
Horiz Sens:,0.16
Vert Sens:,0.16
DPI:,1600
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.7
Crosshair Color:,000101FF
Resolution:,1920x1080
Avg FPS:,200.520905
Resolution Scale:,100.0
